# Corpus manifest (TSV): name	url	category	file_filter	size_class
# generated 2026-09-14 by select_corpus.py sample — 400 projects drawn, target 400, seed 20261110
# Stratified by (stratum, language, size_class): a floor of 2 per cell, then largest-remainder proportional.
# size_class: S < 30k commits | M 30k-150k | L > 150k
texasinstruments__simplelink-hal-ti	https://github.com/TexasInstruments/simplelink-hal_ti.git	company-owned	\.[ch]$	S
texasinstruments__ti-linux-firmware	https://github.com/TexasInstruments/ti-linux-firmware.git	company-owned	\.[ch]$	S
timescale__pg-textsearch	https://github.com/timescale/pg_textsearch.git	company-owned	\.[ch]$	S
aws__audit-plugin-for-mysql	https://github.com/aws/audit-plugin-for-mysql.git	company-owned	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	L
intel__cm-compiler	https://github.com/intel/cm-compiler.git	company-owned	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	L
tencent__tendbcluster-tspider	https://github.com/Tencent/TenDBCluster-TSpider.git	company-owned	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	L
alibaba__alisql	https://github.com/alibaba/AliSQL.git	company-owned	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	M
google__skia	https://github.com/google/skia.git	company-owned	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	M
oracle__graaljs	https://github.com/oracle/graaljs.git	company-owned	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	M
alibaba__loongcollector	https://github.com/alibaba/loongcollector.git	company-owned	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
alibaba__taobao3d	https://github.com/alibaba/Taobao3D.git	company-owned	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
amd__aocl-crypto	https://github.com/amd/aocl-crypto.git	company-owned	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
arm__astl	https://github.com/arm/ASTL.git	company-owned	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
azure__confidential-computing-cvm-guest-attestation	https://github.com/Azure/confidential-computing-cvm-guest-attestation.git	company-owned	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
