# Corpus manifest (TSV): name	url	category	file_filter	size_class
# generated 2026-09-13 by select_corpus.py — 1972 projects; labels from control facts
# size_class: S < 30k commits | M 30k-150k | L > 150k
hurl	https://github.com/Orange-OpenSource/hurl.git	community	\.rs$	S
cocos2d-x	https://github.com/cocos2d/cocos2d-x.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	M
pdf-inspector	https://github.com/firecrawl/pdf-inspector.git	community	\.rs$	S
sa-token	https://github.com/dromara/Sa-Token.git	community	\.java$	S
esp-idf	https://github.com/espressif/esp-idf.git	community	\.[ch]$	M
antlr4	https://github.com/antlr/antlr4.git	community	\.java$	S
winlator	https://github.com/brunodev85/winlator.git	community	\.[ch]$	S
uwebsockets	https://github.com/uNetworking/uWebSockets.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
swoole-src	https://github.com/swoole/swoole-src.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
yoga	https://github.com/react/yoga.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
lightgbm	https://github.com/lightgbm-org/LightGBM.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
algorithms	https://github.com/williamfiset/algorithms.git	community	\.java$	S
iii	https://github.com/iii-hq/iii.git	community	\.rs$	S
wled	https://github.com/wled/WLED.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
wasmtime	https://github.com/bytecodealliance/wasmtime.git	community	\.rs$	S
moonlight-qt	https://github.com/moonlight-stream/moonlight-qt.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
ccusage	https://github.com/ccusage/ccusage.git	community	\.rs$	S
ruffle	https://github.com/ruffle-rs/ruffle.git	community	\.rs$	S
disruptor	https://github.com/LMAX-Exchange/disruptor.git	community	\.java$	S
audacity	https://github.com/audacity/audacity.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
openfang	https://github.com/RightNow-AI/openfang.git	community	\.rs$	S
abseil-cpp	https://github.com/abseil/abseil-cpp.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
clay	https://github.com/nicbarker/clay.git	community	\.[ch]$	S
reactos	https://github.com/reactos/reactos.git	community	\.[ch]$	M
dxvk	https://github.com/doitsujin/dxvk.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
pybind11	https://github.com/pybind/pybind11.git	community	\.(c|cc|cp|cpp|cxx|h|hh|hpp)$	S
wgpu	https://github.com/gfx-rs/wgpu.git	community	\.rs$	S
